lat,lng,name
37.91095816,-122.4882505,Ekans
37.88257653,-122.2697752,Pidgey
37.44127156,-122.1634734,Pidgey
37.53932983,-122.3142505,Weedle
37.72160396,-122.4263303,Paras
37.69496836,-122.1050024,Beedrill
37.70381668,-122.1292287,Rattata
37.85740636,-122.3006973,Magikarp
37.50537443,-122.3394921,Nidoran♂
37.50912493,-122.471801,Magikarp
37.7772911,-122.2177457,Horsea
37.72353762,-122.4059771,Jigglypuff
37.29374505,-121.963708,Rattata
37.70230449,-122.1364156,Sandshrew
37.8317113,-122.3980118,Tentacool
37.70210957,-122.4705628,Rattata
37.62087475,-122.0401949,Zubat
37.76890436,-122.1980619,Doduo
37.50453858,-122.2820034,Weedle
37.81487071,-122.3564051,Caterpie
37.31657363,-121.8794308,Pidgey
37.6170941,-122.4372133,Pidgey
37.33381633,-121.9431781,Rattata
37.34139913,-121.9086862,Growlithe
37.73492587,-122.4203133,Zubat
37.68099743,-122.0700289,Zubat
37.48379406,-122.188928,Spearow
37.75598957,-122.1985939,Spearow
37.53715057,-122.2868765,Rattata
37.78418877,-122.4424331,Paras
37.48868507,-122.2272317,Pidgey
37.38448846,-122.1907903,Psyduck
37.78614041,-122.3672952,Seaking
37.91218775,-122.3440084,Pidgey
37.52764981,-121.908864,Zubat
37.42494819,-122.1629412,Diglett
37.72937992,-122.1740285,Nidoran♀
37.5307493,-121.9389116,Pidgey
37.81207025,-122.2376033,Zubat
37.46099963,-122.2549756,Weedle
37.40847736,-122.0375308,Cubone
37.77897136,-122.3959761,Pidgey
37.50522976,-121.9887654,Pidgey
37.32309258,-121.9366006,Pidgey
37.87187004,-122.2636607,Slowbro
37.4130942,-121.999604,Rattata
37.85758908,-122.2516963,Clefairy
37.30798718,-121.9618418,Meowth
37.74221603,-122.4271267,Nidoran♀
37.87034645,-122.2506328,Paras
37.88700073,-122.2589637,Pidgey
37.9161976,-122.3505611,Rattata
37.84793826,-122.5448311,Magikarp
37.37845939,-121.9525992,Meowth
37.39203059,-122.0209228,Growlithe
37.71259013,-122.1308258,Pidgey
37.64418184,-122.05165,Spearow
37.9110986,-122.3182364,Zubat
37.8045675,-122.2514304,Rattata
37.80608012,-122.2010768,Eevee
37.59272619,-122.3867707,Pidgey
37.63557214,-122.0946181,Ekans
37.77318458,-122.2763325,Voltorb
37.28665681,-121.9392672,Ekans
37.76239045,-122.2709272,Ponyta
37.75965618,-122.4265958,Zubat
37.5227076,-122.3490558,Paras
37.82842488,-122.2311322,Eevee
37.36705061,-121.9897427,Eevee
37.80865969,-122.2251041,Zubat
37.57549811,-121.9318894,Geodude
37.68454502,-122.1781083,Goldeen
37.38744763,-121.8536369,Ekans
37.50888279,-122.4983312,Pidgeotto
37.5854973,-122.0418822,Pidgey
37.67617444,-122.0203011,Nidoran♂
37.55011216,-121.9862777,Spearow
37.51718647,-121.9622862,Pikachu
37.93690018,-122.302469,Bulbasaur
37.71935523,-122.4508374,Clefairy
37.80907806,-122.3781843,Rhyhorn
37.54513618,-122.2915722,Magikarp
37.72330172,-122.5062005,Magikarp
37.87356109,-122.5143345,Krabby
37.64695933,-122.4872778,Caterpie
37.8098077,-122.4099596,Magikarp
37.62191359,-122.0957719,Rattata
37.4125315,-122.0226104,Machop
37.77439422,-122.3861511,Tentacool
